Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),GDP (USD),GDP per capita (USD),Individuals using the Internet (% of population),"Infant mortality rate (per 1,000 live births)",Life expectancy at birth (years),Population density (people per sq. km of land area),Unemployment (% of total labor force) (modeled ILO estimate),Region_East Asia & Pacific,Region_Europe & Central Asia,Region_Latin America & Caribbean,Region_Middle East & North Africa,Region_North America,Region_South Asia,Region_Sub-Saharan Africa,IncomeGroup_High income: OECD,IncomeGroup_High income: nonOECD,IncomeGroup_Low income,IncomeGroup_Lower middle income,IncomeGroup_Upper middle income
4,0.332,0.537,0.255,0.085,0.191,0.036,2018,,,,19363000000.0,520.897,,47.9,,56.9378,1.542,False,False,False,False,False,True,False,False,False,True,False,False
5,0.916,0.817,0.79,0.419,0.149,0.032,2018,,,,15058900000.0,5253.63,,7.8,,104.612,13.898,False,True,False,False,False,False,False,False,False,False,False,True
5,0.979,1.154,0.687,0.077,0.055,0.135,2018,,,,181000000000.0,4278.85,59.5797,20.1,,17.7301,12.145,False,False,False,True,False,False,False,False,False,False,False,True
4,0.73,1.125,0.269,0.0,0.079,0.061,2018,,,,106000000000.0,3432.39,,51.6,,24.7131,7.253,False,False,False,False,False,False,True,False,False,False,False,True
6,1.073,1.468,0.744,0.57,0.062,0.054,2018,,,,518000000000.0,11652.6,,8.8,,16.2585,9.483,False,False,True,False,False,False,False,False,True,False,False,False
4,0.816,0.99,0.666,0.26,0.077,0.028,2018,,,,12433100000.0,4212.07,,11.0,,103.68,17.712,False,True,False,False,False,False,False,False,False,False,True,False
7,1.34,1.573,0.91,0.647,0.361,0.302,2018,,,,1430000000000.0,57305.3,,3.1,,3.24913,5.387,True,False,False,False,False,False,False,True,False,False,False,False
7,1.341,1.504,0.891,0.617,0.242,0.224,2018,,,,456000000000.0,51512.9,87.7105,2.9,,107.207,4.786,False,True,False,False,False,False,False,True,False,False,False,False
5,1.024,1.161,0.603,0.43,0.031,0.176,2018,,,,46939500000.0,4721.18,79.8,19.2,,120.265,5.22,False,True,False,False,False,False,False,False,False,False,False,True
6,1.338,1.366,0.698,0.594,0.243,0.123,2018,,,,37746200000.0,24050.8,98.6434,6.1,,2017.27,0.962,False,False,False,True,False,False,False,False,True,False,False,False
4,0.532,0.85,0.579,0.58,0.153,0.144,2018,,,,274000000000.0,1698.26,,25.1,,1239.58,4.308,False,False,False,False,False,True,False,False,False,False,True,False
5,1.039,1.498,0.7,0.307,0.101,0.154,2018,,,,59662500000.0,6289.94,79.1299,2.6,,46.7288,5.708,False,True,False,False,False,False,False,False,False,False,False,True
7,1.324,1.483,0.894,0.583,0.188,0.24,2018,,,,532000000000.0,46556.1,88.6551,2.9,,377.215,6.323,False,True,False,False,False,False,False,True,False,False,False,False
6,0.807,1.101,0.474,0.593,0.183,0.089,2018,,,,1925000000.0,5025.18,,11.2,,16.794,9.368,False,False,True,False,False,False,False,False,False,False,False,True
4,0.378,0.372,0.24,0.44,0.163,0.067,2018,,,,10359000000.0,901.954,,60.5,,101.854,2.125,False,False,False,False,False,False,True,False,False,True,False,False
5,0.796,1.335,0.527,0.541,0.364,0.171,2018,,,,2534970000.0,3360.27,,24.8,,19.7775,2.197,False,False,False,False,False,True,False,False,False,False,True,False
6,0.751,1.223,0.508,0.606,0.141,0.054,2018,,,,40287600000.0,3548.59,,21.8,,10.4801,3.258,False,False,True,False,False,False,False,False,False,False,True,False
5,0.915,1.078,0.758,0.28,0.216,0.0,2018,,,,19781800000.0,5951.32,70.1201,5.0,,64.9205,20.839,False,True,False,False,False,False,False,False,False,False,False,True
4,1.017,1.174,0.417,0.557,0.042,0.092,2018,,,,18616000000.0,8258.64,,30.0,,3.97742,17.941,False,False,False,False,False,False,True,False,False,False,False,True
6,0.986,1.474,0.675,0.493,0.11,0.088,2018,,,,1870000000000.0,8920.76,,12.8,,25.0617,12.544,False,False,True,False,False,False,False,False,False,False,False,True
5,1.054,1.515,0.712,0.359,0.064,0.009,2018,,,,65133000000.0,9272.63,64.782,5.9,,64.7035,5.261,False,True,False,False,False,False,False,False,False,False,False,True
4,0.314,1.097,0.254,0.312,0.175,0.128,2018,,,,14441800000.0,731.172,,49.0,,72.1913,6.059,False,False,False,False,False,False,True,False,False,True,False,False
3,0.091,0.627,0.145,0.065,0.149,0.076,2018,,,,3078030000.0,275.43,,41.0,,435.178,1.528,False,False,False,False,False,False,True,False,False,True,False,False
4,0.549,1.088,0.457,0.696,0.256,0.065,2018,,,,24571800000.0,1512.13,40.0,24.0,,92.0564,1.048,True,False,False,False,False,False,False,False,False,True,False,False
5,0.535,0.891,0.182,0.454,0.183,0.043,2018,,,,38502100000.0,1526.88,,50.6,,53.344,3.361,False,False,False,False,False,False,True,False,False,False,True,False
7,1.33,1.532,0.896,0.653,0.321,0.291,2018,,,,1710000000000.0,46210.5,,4.3,,4.07531,5.92,False,False,False,False,True,False,False,True,False,False,False,False
3,0.024,0.0,0.01,0.305,0.218,0.038,2018,,,,2379720000.0,509.971,,84.5,,7.49041,6.483,False,False,False,False,False,False,True,False,False,True,False,False
4,0.358,0.907,0.053,0.189,0.181,0.06,2018,,,,11302500000.0,730.245,,71.4,,12.2917,2.229,False,False,False,False,False,False,True,False,False,True,False,False
6,1.131,1.331,0.808,0.431,0.197,0.061,2018,,,,298000000000.0,15923.4,,6.2,,25.1894,7.223,False,False,True,False,False,False,False,True,False,False,False,False
5,0.989,1.142,0.799,0.597,0.029,0.103,2018,,,,13600000000000.0,9770.85,,7.4,,148.349,4.417,True,False,False,False,False,False,False,False,False,False,False,True
6,0.96,1.439,0.635,0.531,0.099,0.039,2018,,,,330000000000.0,6651.29,,12.2,,44.7487,9.093,False,False,True,False,False,False,False,False,False,False,False,True
7,1.01,1.459,0.817,0.632,0.143,0.101,2018,,,,60126000000.0,12026.5,74.0868,7.6,,97.9131,8.128,False,False,True,False,False,False,False,False,False,False,False,True
5,1.115,1.161,0.737,0.38,0.12,0.039,2018,,,,60805700000.0,14869.1,72.6888,4.0,,73.0772,8.85,False,True,False,False,False,False,False,False,True,False,False,False
6,1.229,1.191,0.909,0.423,0.202,0.035,2018,,,,24469800000.0,28159.3,84.4336,1.9,,128.708,8.109,False,True,False,False,False,False,False,False,True,False,False,False
7,1.233,1.489,0.854,0.543,0.064,0.034,2018,,,,245000000000.0,23078.6,80.6882,2.7,,137.603,2.397,False,True,False,False,False,False,False,True,False,False,False,False
