Year,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),GDP (USD),GDP per capita (USD),Individuals using the Internet (% of population),"Infant mortality rate (per 1,000 live births)",Life expectancy at birth (years),Population density (people per sq. km of land area),Unemployment (% of total labor force) (modeled ILO estimate),Region_East Asia & Pacific,Region_Europe & Central Asia,Region_Latin America & Caribbean,Region_Middle East & North Africa,Region_North America,Region_South Asia,Region_Sub-Saharan Africa,IncomeGroup_High income: OECD,IncomeGroup_High income: nonOECD,IncomeGroup_Low income,IncomeGroup_Lower middle income,IncomeGroup_Upper middle income
2018,,,,19363000000.0,520.897,,47.9,,56.9378,1.542,False,False,False,False,False,True,False,False,False,True,False,False
2018,,,,15058900000.0,5253.63,,7.8,,104.612,13.898,False,True,False,False,False,False,False,False,False,False,False,True
2018,,,,181000000000.0,4278.85,59.5797,20.1,,17.7301,12.145,False,False,False,True,False,False,False,False,False,False,False,True
2018,,,,106000000000.0,3432.39,,51.6,,24.7131,7.253,False,False,False,False,False,False,True,False,False,False,False,True
2018,,,,518000000000.0,11652.6,,8.8,,16.2585,9.483,False,False,True,False,False,False,False,False,True,False,False,False
2018,,,,12433100000.0,4212.07,,11.0,,103.68,17.712,False,True,False,False,False,False,False,False,False,False,True,False
2018,,,,1430000000000.0,57305.3,,3.1,,3.24913,5.387,True,False,False,False,False,False,False,True,False,False,False,False
2018,,,,456000000000.0,51512.9,87.7105,2.9,,107.207,4.786,False,True,False,False,False,False,False,True,False,False,False,False
2018,,,,46939500000.0,4721.18,79.8,19.2,,120.265,5.22,False,True,False,False,False,False,False,False,False,False,False,True
2018,,,,37746200000.0,24050.8,98.6434,6.1,,2017.27,0.962,False,False,False,True,False,False,False,False,True,False,False,False
2018,,,,274000000000.0,1698.26,,25.1,,1239.58,4.308,False,False,False,False,False,True,False,False,False,False,True,False
2018,,,,59662500000.0,6289.94,79.1299,2.6,,46.7288,5.708,False,True,False,False,False,False,False,False,False,False,False,True
2018,,,,532000000000.0,46556.1,88.6551,2.9,,377.215,6.323,False,True,False,False,False,False,False,True,False,False,False,False
2018,,,,1925000000.0,5025.18,,11.2,,16.794,9.368,False,False,True,False,False,False,False,False,False,False,False,True
2018,,,,10359000000.0,901.954,,60.5,,101.854,2.125,False,False,False,False,False,False,True,False,False,True,False,False
2018,,,,2534970000.0,3360.27,,24.8,,19.7775,2.197,False,False,False,False,False,True,False,False,False,False,True,False
2018,,,,40287600000.0,3548.59,,21.8,,10.4801,3.258,False,False,True,False,False,False,False,False,False,False,True,False
2018,,,,19781800000.0,5951.32,70.1201,5.0,,64.9205,20.839,False,True,False,False,False,False,False,False,False,False,False,True
2018,,,,18616000000.0,8258.64,,30.0,,3.97742,17.941,False,False,False,False,False,False,True,False,False,False,False,True
2018,,,,1870000000000.0,8920.76,,12.8,,25.0617,12.544,False,False,True,False,False,False,False,False,False,False,False,True
2018,,,,65133000000.0,9272.63,64.782,5.9,,64.7035,5.261,False,True,False,False,False,False,False,False,False,False,False,True
2018,,,,14441800000.0,731.172,,49.0,,72.1913,6.059,False,False,False,False,False,False,True,False,False,True,False,False
2018,,,,3078030000.0,275.43,,41.0,,435.178,1.528,False,False,False,False,False,False,True,False,False,True,False,False
2018,,,,24571800000.0,1512.13,40.0,24.0,,92.0564,1.048,True,False,False,False,False,False,False,False,False,True,False,False
2018,,,,38502100000.0,1526.88,,50.6,,53.344,3.361,False,False,False,False,False,False,True,False,False,False,True,False
2018,,,,1710000000000.0,46210.5,,4.3,,4.07531,5.92,False,False,False,False,True,False,False,True,False,False,False,False
2018,,,,2379720000.0,509.971,,84.5,,7.49041,6.483,False,False,False,False,False,False,True,False,False,True,False,False
2018,,,,11302500000.0,730.245,,71.4,,12.2917,2.229,False,False,False,False,False,False,True,False,False,True,False,False
2018,,,,298000000000.0,15923.4,,6.2,,25.1894,7.223,False,False,True,False,False,False,False,True,False,False,False,False
2018,,,,13600000000000.0,9770.85,,7.4,,148.349,4.417,True,False,False,False,False,False,False,False,False,False,False,True
2018,,,,330000000000.0,6651.29,,12.2,,44.7487,9.093,False,False,True,False,False,False,False,False,False,False,False,True
2018,,,,60126000000.0,12026.5,74.0868,7.6,,97.9131,8.128,False,False,True,False,False,False,False,False,False,False,False,True
2018,,,,60805700000.0,14869.1,72.6888,4.0,,73.0772,8.85,False,True,False,False,False,False,False,False,True,False,False,False
2018,,,,24469800000.0,28159.3,84.4336,1.9,,128.708,8.109,False,True,False,False,False,False,False,False,True,False,False,False
2018,,,,245000000000.0,23078.6,80.6882,2.7,,137.603,2.397,False,True,False,False,False,False,False,True,False,False,False,False
2018,,,,352000000000.0,60726.5,97.6443,3.6,,138.067,4.975,False,True,False,False,False,False,False,True,False,False,False,False
2018,,,,81298600000.0,7650.07,74.8243,24.1,,219.979,5.829,False,False,True,False,False,False,False,False,False,False,False,True
2018,,,,108000000000.0,6344.87,,12.2,,68.7887,3.91,False,False,True,False,False,False,False,False,False,False,False,True
2018,,,,26057000000.0,4058.24,,11.8,,309.881,4.39,False,False,True,False,False,False,False,False,False,False,True,False
2018,,,,30284900000.0,22927.7,89.357,2.1,,30.3861,5.508,False,True,False,False,False,False,False,True,False,False,False,False
2018,,,,84355500000.0,772.312,,39.1,,109.225,1.809,False,False,False,False,False,False,True,False,False,True,False,False
2018,,,,274000000000.0,49648.1,88.89,1.4,,18.1569,7.755,False,True,False,False,False,False,False,True,False,False,False,False
2018,,,,2780000000000.0,41463.6,82.0435,3.4,,122.338,9.18,False,True,False,False,False,False,False,True,False,False,False,False
2018,,,,17017400000.0,8029.82,,32.7,,8.22476,19.488,False,False,False,False,False,False,True,False,False,False,False,True
2018,,,,16209800000.0,4344.63,63.9686,8.7,,65.2752,14.106,False,True,False,False,False,False,False,False,False,False,True,False
2018,,,,4000000000000.0,48195.6,89.7391,3.1,,237.371,3.425,False,True,False,False,False,False,False,True,False,False,False,False
