Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
4,0.332,0.537,0.255,0.085,0.191,0.036
5,0.916,0.817,0.79,0.419,0.149,0.032
5,0.979,1.154,0.687,0.077,0.055,0.135
4,0.73,1.125,0.269,0.0,0.079,0.061
6,1.073,1.468,0.744,0.57,0.062,0.054
4,0.816,0.99,0.666,0.26,0.077,0.028
7,1.34,1.573,0.91,0.647,0.361,0.302
7,1.341,1.504,0.891,0.617,0.242,0.224
5,1.024,1.161,0.603,0.43,0.031,0.176
6,1.338,1.366,0.698,0.594,0.243,0.123
4,0.532,0.85,0.579,0.58,0.153,0.144
5,1.039,1.498,0.7,0.307,0.101,0.154
7,1.324,1.483,0.894,0.583,0.188,0.24
6,0.807,1.101,0.474,0.593,0.183,0.089
4,0.378,0.372,0.24,0.44,0.163,0.067
5,0.796,1.335,0.527,0.541,0.364,0.171
6,0.751,1.223,0.508,0.606,0.141,0.054
5,0.915,1.078,0.758,0.28,0.216,0.0
4,1.017,1.174,0.417,0.557,0.042,0.092
6,0.986,1.474,0.675,0.493,0.11,0.088
5,1.054,1.515,0.712,0.359,0.064,0.009
4,0.314,1.097,0.254,0.312,0.175,0.128
3,0.091,0.627,0.145,0.065,0.149,0.076
4,0.549,1.088,0.457,0.696,0.256,0.065
5,0.535,0.891,0.182,0.454,0.183,0.043
7,1.33,1.532,0.896,0.653,0.321,0.291
3,0.024,0.0,0.01,0.305,0.218,0.038
4,0.358,0.907,0.053,0.189,0.181,0.06
6,1.131,1.331,0.808,0.431,0.197,0.061
5,0.989,1.142,0.799,0.597,0.029,0.103
6,0.96,1.439,0.635,0.531,0.099,0.039
7,1.01,1.459,0.817,0.632,0.143,0.101
5,1.115,1.161,0.737,0.38,0.12,0.039
6,1.229,1.191,0.909,0.423,0.202,0.035
7,1.233,1.489,0.854,0.543,0.064,0.034
8,1.351,1.59,0.868,0.683,0.284,0.408
5,0.982,1.441,0.614,0.578,0.12,0.106
6,0.889,1.33,0.736,0.556,0.114,0.12
6,0.806,1.231,0.639,0.461,0.065,0.082
6,1.2,1.532,0.737,0.553,0.086,0.174
4,0.308,0.95,0.391,0.452,0.22,0.146
8,1.305,1.592,0.874,0.681,0.202,0.393
6,1.293,1.466,0.908,0.52,0.098,0.176
5,1.036,1.164,0.404,0.356,0.032,0.052
4,0.853,0.592,0.643,0.375,0.038,0.215
7,1.34,1.474,0.861,0.586,0.273,0.28
5,0.592,0.896,0.337,0.499,0.212,0.029
5,1.154,1.202,0.879,0.131,0.0,0.044
6,0.781,1.268,0.608,0.604,0.179,0.071
4,0.344,0.792,0.211,0.394,0.185,0.094
4,0.315,0.714,0.289,0.025,0.392,0.104
6,0.62,1.205,0.622,0.459,0.197,0.074
6,1.171,1.401,0.732,0.259,0.061,0.022
7,1.343,1.644,0.914,0.677,0.353,0.138
4,0.721,0.747,0.485,0.539,0.172,0.093
5,0.899,1.215,0.522,0.538,0.484,0.018
4,1.01,0.971,0.536,0.304,0.148,0.095
7,1.448,1.583,0.876,0.614,0.307,0.306
7,1.301,1.559,0.883,0.533,0.354,0.272
6,1.264,1.501,0.946,0.281,0.137,0.028
6,0.819,1.493,0.693,0.575,0.096,0.031
6,1.294,1.462,0.988,0.553,0.079,0.15
5,0.822,1.265,0.645,0.468,0.13,0.134
6,1.143,1.516,0.631,0.454,0.148,0.121
