name,year,yearly_views
Angus Deaton,2015,176308
Arthur B. McDonald,2015,82540
Aziz Sancar,2015,145775
Svetlana Alexievich,2015,232034
Takaaki Kajita,2015,71235
Tomas Lindahl,2015,62762
Bob Dylan,2016,2428917
David J. Thouless,2016,85290
J. Michael Kosterlitz,2016,18135
Jean-Pierre Sauvage,2016,49442
Juan Manuel Santos,2016,229130
Yoshinori Ohsumi,2016,110624
Jacques Dubochet,2017,37810
Jeffrey C. Hall,2017,68535
Joachim Frank,2017,44767
Kazuo Ishiguro,2017,579930
Michael Rosbash,2017,59614
Michael W. Young,2017,55187
Rainer Weiss,2017,91132
Arthur Ashkin,2018,98499
Denis Mukwege,2018,212995
Donna Strickland,2018,218008
James P. Allison,2018,108806
Nadia Murad,2018,207182
Olga Tokarczuk,2018,48686
Tasuku Honjo,2018,76672
Abhijit Banerjee,2019,368591
Akira Yoshino,2019,57535
Didier Queloz,2019,52245
Esther Duflo,2019,267902
M. Stanley Whittingham,2019,48563
Michael Kremer,2019,71972
Michel Mayor,2019,58213
Peter Handke,2019,194416
Peter Ratcliffe,2019,6690
Emmanuelle Charpentier,2020,180695
Michael Houghton,2020,1075
Paul Milgrom,2020,93511
Reinhard Genzel,2020,69983
Roger Penrose,2020,418564
Abdulrazak Gurnah,2021,209498
Ardem Patapoutian,2021,80806
Benjamin List,2021,51798
David Card,2021,68683
David Julius,2021,76901
David MacMillan,2021,52078
Dmitry Muratov,2021,80374
Giorgio Parisi,2021,91203
Guido Imbens,2021,54178
Joshua Angrist,2021,54349
Klaus Hasselmann,2021,53450
Maria Ressa,2021,173062
Syukuro Manabe,2021,67754
Alain Aspect,2022,72172
Ales Bialiatski,2022,47940
Annie Ernaux,2022,259916
Anton Zeilinger,2022,68480
Ben Bernanke,2022,196248
Carolyn Bertozzi,2022,43546
Douglas Diamond,2022,35979
John Clauser,2022,77248
Claudia Goldin,2023,130220
Drew Weissman,2023,118649
Ferenc Krausz,2023,57379
Jon Fosse,2023,143957
Moungi Bawendi,2023,58788
Narges Mohammadi,2023,107456
Pierre Agostini,2023,51615
