year,category,prizeShare,name,gender,born,bornCountry,organizationName,organizationCountry
2023,economics,1,Claudia Goldin,female,1946-00-00,USA,Harvard University,USA
2023,peace,1,Narges Mohammadi,female,21-04-1972,Iran,,
2023,literature,1,Jon Fosse,male,29-09-1959,Norway,,
2023,chemistry,3,Moungi Bawendi,male,1961-00-00,France,Massachusetts Institute of Technology (MIT),USA
2023,physics,3,Ferenc Krausz,male,17-05-1962,Hungary,Max Planck Institute of Quantum Optics,Germany
2023,physics,3,Pierre Agostini,male,23-07-1941,Tunisia,The Ohio State University,USA
2023,medicine,2,Drew Weissman,male,7/9/1959,USA,Penn Institute for RNA Innovations University of Pennsylvania,USA
2022,physics,3,Alain Aspect,male,15-06-1947,France,Institut d'Optique Graduate School - Universite Paris-Saclay,France
2022,economics,3,Douglas Diamond,male,25-10-1953,USA,University of Chicago,USA
2022,economics,3,Ben Bernanke,male,13-12-1953,USA,The Brookings Institution,USA
2022,peace,3,Ales Bialiatski,male,25-09-1962,Russia,,
2022,literature,1,Annie Ernaux,female,1/9/1940,France,,
2022,chemistry,3,Carolyn Bertozzi,female,10/10/1966,USA,Stanford University,USA
2022,physics,3,Anton Zeilinger,male,20-05-1945,Austria,University of Vienna,Austria
2022,physics,3,John Clauser,male,1/12/1942,USA,J.F. Clauser & Assoc.,USA
2021,chemistry,2,Benjamin List,male,11/1/1968,Germany,Max Planck Institute for Coal Research,Germany
2021,economics,4,Guido Imbens,male,3/9/1963,the Netherlands,Stanford University,USA
2021,economics,4,Joshua Angrist,male,18-09-1960,USA,Massachusetts Institute of Technology (MIT),USA
2021,economics,2,David Card,male,1956-00-00,Canada,University of California,USA
2021,peace,2,Dmitry Muratov,male,1961-00-00,Russia,,
2021,peace,2,Maria Ressa,female,2/10/1963,Philippines,,
2021,literature,1,Abdulrazak Gurnah,male,1948-00-00,Tanzania,,
2021,chemistry,2,David MacMillan,male,16-03-1968,United Kingdom,Princeton University,USA
2021,physics,2,Giorgio Parisi,male,4/8/1948,Italy,Sapienza University of Rome,Italy
2021,physics,4,Klaus Hasselmann,male,25-10-1931,Germany,Max Planck Institute for Meteorology,Germany
2021,physics,4,Syukuro Manabe,male,21-09-1931,Japan,Princeton University,USA
2021,medicine,2,Ardem Patapoutian,male,1967-00-00,Lebanon,Scripps Research,USA
2021,medicine,2,David Julius,male,4/11/1955,USA,University of California,USA
2020,economics,2,Paul Milgrom,male,20-04-1948,USA,Stanford University,USA
2020,chemistry,2,Emmanuelle Charpentier,female,11/12/1968,France,Max Planck Unit for the Science of Pathogens,Germany
2020,physics,4,Reinhard Genzel,male,24-03-1952,Germany,Max Planck Institute for Extraterrestrial Physics,Germany
2020,physics,2,Roger Penrose,male,8/8/1931,United Kingdom,University of Oxford,United Kingdom
2020,medicine,3,Michael Houghton,male,1949-00-00,United Kingdom,University of Alberta,Canada
2019,economics,3,Michael Kremer,male,12/11/1964,USA,Harvard University,USA
2019,economics,3,Esther Duflo,female,25-10-1972,France,Massachusetts Institute of Technology (MIT),USA
2019,economics,3,Abhijit Banerjee,male,21-02-1961,India,Massachusetts Institute of Technology (MIT),USA
2019,literature,1,Peter Handke,male,6/12/1942,Austria,,
