name,year,yearly_views
0,2015,176308
1,2015,82540
2,2015,145775
3,2015,232034
4,2015,71235
5,2015,62762
6,2016,2428917
7,2016,85290
8,2016,18135
9,2016,49442
10,2016,229130
11,2016,110624
12,2017,37810
13,2017,68535
14,2017,44767
15,2017,579930
16,2017,59614
17,2017,55187
18,2017,91132
19,2018,98499
20,2018,212995
21,2018,218008
22,2018,108806
23,2018,207182
24,2018,48686
25,2018,76672
26,2019,368591
27,2019,57535
28,2019,52245
29,2019,267902
30,2019,48563
31,2019,71972
32,2019,58213
33,2019,194416
34,2019,6690
35,2020,180695
36,2020,1075
37,2020,93511
38,2020,69983
39,2020,418564
40,2021,209498
41,2021,80806
42,2021,51798
43,2021,68683
44,2021,76901
45,2021,52078
46,2021,80374
47,2021,91203
48,2021,54178
49,2021,54349
50,2021,53450
51,2021,173062
52,2021,67754
53,2022,72172
54,2022,47940
55,2022,259916
56,2022,68480
57,2022,196248
58,2022,43546
59,2022,35979
60,2022,77248
61,2023,130220
62,2023,118649
63,2023,57379
64,2023,143957
65,2023,58788
66,2023,107456
67,2023,51615
