year,category,prizeShare,name,born,organizationName,gender_female,gender_male,bornCountry_Austria,bornCountry_Canada,bornCountry_Colombia,bornCountry_Democratic Republic of the Congo,bornCountry_France,bornCountry_Germany,bornCountry_Hungary,bornCountry_India,bornCountry_Iran,bornCountry_Iraq,bornCountry_Italy,bornCountry_Japan,bornCountry_Lebanon,bornCountry_Norway,bornCountry_Philippines,bornCountry_Poland,bornCountry_Russia,bornCountry_Scotland,bornCountry_Sweden,bornCountry_Switzerland,bornCountry_Tanzania,bornCountry_Tunisia,bornCountry_Turkey,bornCountry_USA,bornCountry_Ukraine,bornCountry_United Kingdom,bornCountry_the Netherlands,organizationCountry_Austria,organizationCountry_Canada,organizationCountry_France,organizationCountry_Germany,organizationCountry_Italy,organizationCountry_Japan,organizationCountry_Switzerland,organizationCountry_USA,organizationCountry_United Kingdom
2023,0,1,0,1946-00-00,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2023,1,1,1,21-04-1972,-1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023,2,1,2,29-09-1959,-1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023,3,3,3,1961-00-00,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2023,4,3,4,17-05-1962,2,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2023,4,3,5,23-07-1941,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2023,5,2,6,7/9/1959,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2022,4,3,7,15-06-1947,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022,0,3,8,25-10-1953,6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2022,0,3,9,13-12-1953,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2022,1,3,10,25-09-1962,-1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022,2,1,11,1/9/1940,-1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022,3,3,12,10/10/1966,8,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2022,4,3,13,20-05-1945,9,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022,4,3,14,1/12/1942,10,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2021,3,2,15,11/1/1968,11,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
