Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,user_review
Wii Sports,Wii,2006.0,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,8
Mario Kart Wii,Wii,2008.0,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,8
Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,8
New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,8
Wii Play,Wii,2006.0,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,7
New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,8
Mario Kart DS,DS,2005.0,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,9
Wii Fit,Wii,2007.0,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,8
Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,8
Kinect Adventures!,Xbox 360,2010.0,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,6
Grand Theft Auto V,PlayStation 3,2013.0,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,8
Grand Theft Auto: San Andreas,PlayStation 2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,9
Grand Theft Auto V,Xbox 360,2013.0,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,8
Grand Theft Auto: Vice City,PlayStation 2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,9
Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,7
Gran Turismo 3: A-Spec,PlayStation 2,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,8
Call of Duty: Modern Warfare 3,Xbox 360,2011.0,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,4
Call of Duty: Black Ops,Xbox 360,2010.0,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,7
Call of Duty: Black Ops II,PlayStation 3,2012.0,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,6
Call of Duty: Black Ops II,Xbox 360,2012.0,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,5
Call of Duty: Modern Warfare 2,Xbox 360,2009.0,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,7
Call of Duty: Modern Warfare 3,PlayStation 3,2011.0,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,3
Grand Theft Auto III,PlayStation 2,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,8
Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,9
Call of Duty: Black Ops,PlayStation 3,2010.0,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,7
Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,8
Mario Kart 7,3DS,2011.0,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,8
Halo 3,Xbox 360,2007.0,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,8
Grand Theft Auto V,PlayStation 4,2014.0,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,8
Super Mario 64,Nintendo 64,1996.0,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,9
Gran Turismo 4,PlayStation 2,2004.0,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,9
Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,9
Grand Theft Auto IV,Xbox 360,2008.0,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,8
Gran Turismo,PlayStation,1997.0,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,9
Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,8
Gran Turismo 5,PlayStation 3,2010.0,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,8
Call of Duty: Modern Warfare 2,PlayStation 3,2009.0,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,7
Grand Theft Auto IV,PlayStation 3,2008.0,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,8
Just Dance 3,Wii,2011.0,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,8
Call of Duty: Ghosts,Xbox 360,2013.0,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,3
Halo: Reach,Xbox 360,2010.0,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,8
Mario Kart 64,Nintendo 64,1996.0,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,9
New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,7
Halo 4,Xbox 360,2012.0,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,7
Final Fantasy VII,PlayStation,1997.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,9
Call of Duty: Ghosts,PlayStation 3,2013.0,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,3
Just Dance 2,Wii,2010.0,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,7
Gran Turismo 2,PlayStation,1999.0,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,9
Call of Duty 4: Modern Warfare,Xbox 360,2007.0,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,8
Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,9
Mario Party DS,DS,2007.0,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,8
The Elder Scrolls V: Skyrim,Xbox 360,2011.0,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,9
FIFA 16,PlayStation 4,2015.0,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,4
Wii Party,Wii,2010.0,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,8
Halo 2,Xbox,2004.0,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,9
Mario Party 8,Wii,2007.0,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,6
FIFA Soccer 13,PlayStation 3,2012.0,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,7
The Sims 3,PC,2009.0,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,8
GoldenEye 007,Nintendo 64,1997.0,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,9
Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,2.58,3.9,0.66,0.91,8.06,8
Final Fantasy X,PlayStation 2,2001.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,9
Final Fantasy VIII,PlayStation,1999.0,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,9
Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,8
Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,9
Call of Duty: Advanced Warfare,PlayStation 4,2014.0,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,6
The Legend of Zelda: Ocarina of Time,Nintendo 64,1998.0,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,9
Call of Duty: World at War,Xbox 360,2008.0,Shooter,Activision,4.79,1.9,0.0,0.69,7.37,8
Battlefield 3,Xbox 360,2011.0,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,8
The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,9
Battlefield 3,PlayStation 3,2011.0,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,8
Need for Speed Underground,PlayStation 2,2003.0,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,9
Tekken 3,PlayStation,1998.0,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,9
Crash Bandicoot 3: Warped,PlayStation,1998.0,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,9
Super Smash Bros. Melee,GameCube,2001.0,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,9
Mario Kart 8,Wii U,2014.0,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,9
Fallout 4,PlayStation 4,2015.0,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,7
Mario Kart: Double Dash!!,GameCube,2003.0,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,9
Just Dance 4,Wii,2012.0,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91,8
FIFA 14,PlayStation 3,2013.0,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,4
Need for Speed Underground 2,PlayStation 2,2004.0,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,9
Uncharted 3: Drake's Deception,PlayStation 3,2011.0,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,8
Gears of War 2,Xbox 360,2008.0,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,8
Uncharted 2: Among Thieves,PlayStation 3,2009.0,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73,9
Call of Duty 4: Modern Warfare,PlayStation 3,2007.0,Shooter,Activision,3.1,2.3,0.28,1.04,6.72,8
Big Brain Academy,DS,2005.0,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,8
Red Dead Redemption,PlayStation 3,2010.0,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,9
FIFA 15,PlayStation 4,2014.0,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59,6
Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,9
The Elder Scrolls V: Skyrim,PlayStation 3,2011.0,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,7
Assassin's Creed III,PlayStation 3,2012.0,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5,7
Halo: Combat Evolved,Xbox,2001.0,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,9
Kingdom Hearts,PlayStation 2,2002.0,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,9
Halo 3: ODST,Xbox 360,2009.0,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36,8
Red Dead Redemption,Xbox 360,2010.0,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,9
Super Mario Sunshine,GameCube,2002.0,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,8
World of Warcraft,PC,2004.0,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,7
Driver,PlayStation,1999.0,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,8
Kinect Sports,Xbox 360,2010.0,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,8
Gears of War 3,Xbox 360,2011.0,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,8
Gears of War,Xbox 360,2006.0,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11,8
Metal Gear Solid 2: Sons of Liberty,PlayStation 2,2001.0,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,9
Metal Gear Solid 4: Guns of the Patriots,PlayStation 3,2008.0,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03,9
Metal Gear Solid,PlayStation,1998.0,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,9
The Last of Us,PlayStation 3,2013.0,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99,9
Final Fantasy XII,PlayStation 2,2006.0,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,8
LittleBigPlanet,PlayStation 3,2008.0,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,7
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84,9
LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts,3.66,1.63,0.0,0.53,5.83,9
Resident Evil 2,PlayStation,1998.0,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,9
Tekken 2,PlayStation,1996.0,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,8
Cooking Mama,DS,2006.0,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72,7
Destiny,PlayStation 4,2014.0,Shooter,Activision,2.49,2.05,0.16,0.96,5.65,6
Assassin's Creed II,PlayStation 3,2009.0,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57,9
Super Smash Bros.,Nintendo 64,1999.0,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,9
Assassin's Creed,Xbox 360,2007.0,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55,8
Batman: Arkham City,PlayStation 3,2011.0,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53,9
Forza Motorsport 3,Xbox 360,2009.0,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51,8
Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5,8
Super Mario Advance,Game Boy Advance,2001.0,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,7
Call of Duty: World at War,PlayStation 3,2008.0,Shooter,Activision,2.72,1.87,0.0,0.84,5.43,8
Crash Bandicoot: The Wrath of Cortex,PlayStation 2,2001.0,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,7
Final Fantasy XIII,PlayStation 3,2009.0,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36,7
Assassin's Creed III,Xbox 360,2012.0,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3,7
Final Fantasy IX,PlayStation,2000.0,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,9
Final Fantasy X-2,PlayStation 2,2003.0,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,8
Donkey Kong 64,Nintendo 64,1999.0,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,9
Assassin's Creed II,Xbox 360,2009.0,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27,9
Professor Layton and the Curious Village,DS,2007.0,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26,8
Madden NFL 2004,PlayStation 2,,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,8
Dragon Quest VIII: Journey of the Cursed King,PlayStation 2,2004.0,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,9
Diablo III,PC,2012.0,Role-Playing,Activision,2.43,2.15,0.0,0.62,5.2,4
New Super Mario Bros. U,Wii U,2012.0,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19,8
FIFA Soccer 13,Xbox 360,2012.0,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18,6
The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,Nintendo,1.9,1.83,0.95,0.49,5.17,8
Tomodachi Life,3DS,2013.0,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15,8
Mario & Sonic at the Olympic Games,DS,2008.0,Sports,Sega,1.64,2.48,0.44,0.58,5.14,7
Fable III,Xbox 360,2010.0,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13,7
Call of Duty: Advanced Warfare,Xbox One,2014.0,Shooter,Activision,3.21,1.53,0.01,0.38,5.13,6
Microsoft Flight Simulator,PC,1996.0,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12,7
Guitar Hero II,PlayStation 2,2006.0,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12,8
Resident Evil 5,PlayStation 3,2009.0,Action,Capcom,1.96,1.43,1.08,0.65,5.11,8
