Name,release_date,meta_score,user_review,Platform_3DS,Platform_DS,Platform_Dreamcast,Platform_Game Boy Advance,Platform_GameCube,Platform_Nintendo 64,Platform_PC,Platform_PSP,Platform_PlayStation,Platform_PlayStation 2,Platform_PlayStation 3,Platform_PlayStation 4,Platform_PlayStation Vita,Platform_Wii,Platform_Wii U,Platform_Xbox,Platform_Xbox 360,Platform_Xbox One
The Legend of Zelda: Ocarina of Time,"November 23, 1998",99,9,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Tony Hawk's Pro Skater 2,"September 20, 2000",98,7,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Grand Theft Auto IV,"April 29, 2008",98,8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
SoulCalibur,"September 8, 1999",98,8,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Grand Theft Auto IV,"April 29, 2008",98,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Super Mario Galaxy,"November 12, 2007",97,9,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Super Mario Galaxy 2,"May 23, 2010",97,9,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Grand Theft Auto V,"November 18, 2014",97,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Grand Theft Auto V,"September 17, 2013",97,8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Grand Theft Auto V,"September 17, 2013",97,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Tony Hawk's Pro Skater 3,"October 28, 2001",97,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Perfect Dark,"May 22, 2000",97,9,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Grand Theft Auto V,"November 18, 2014",97,8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Metroid Prime,"November 17, 2002",97,9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
